Index,Chinese,Pinyin,English,Level
2245,阿姨,āyí,aunt,4
2246,啊,a,ah,4
2247,矮,ǎi,short,4
2248,矮小,ǎi xiǎo,short and small; low and small;  undersized,4
2249,爱国,ài guó,love one's country; be patriotic,4
2250,爱护,àihù,Care,4
2251,安,ān,quiet; safe; secure; install; fix; fit,4
2252,安置,ānzhì,put; arrange for,4
2253,按时,ànshí,on time,4
2254,暗,àn,dark,4
2255,暗示,ànshì,suggest secretly,4
2256,巴士,bā shì,bus,4
2257,百货,bǎi huò,department store; general  merchandise,4
2258,摆,bǎi,pendulum,4
2259,摆动,bǎi dòng,swing; sway; oscillate;vibrate,4
2260,摆脱,bǎituō,cast off,4
2261,败,bài,defeat; beat; fail; lose,4
2262,办事,bàn shì,handle affairs; work,4
2263,包裹,bāoguǒ,package,4
2264,包含,bāohán,Contain,4
2265,包括,bāokuò,Include,4
2266,薄,báo,thin,4
2267,宝,bǎo,treasure; precious; treasured,4
2268,宝宝,bǎo,bao baby; darling,4
2269,宝贝,bǎobèi,baby,4
2270,宝贵,bǎoguì,valuable,4
2271,宝石,bǎo shí,gemstone; gem; cameo; precious  stone,4
2272,保密,bǎomì,secrecy,4
2273,保守,bǎoshǒu,Conservative,4
2274,抱,bào,"Hold, hug",4
2275,背景,bèijǐng,background,4
2276,倍,bèi,times,4
2277,被迫,bèi pò,be compelled; be forced; be  constrained,4
2278,本科,běnkē,Undergraduate,4
2279,笨,bèn,stupid,4
2280,比分,bǐ fēn,score,4
2281,毕业,bìyè,graduation,4
2282,毕业生,bì yè shēng,graduate,4
2283,避,bì,avoid; evade; dodge; keep away; repel,4
2284,避免,bìmiǎn,avoid,4
2285,编,biān,invent; make up; plait; edit; compile;  compose; write,4
2286,辩论,biànlùn,Debate,4
2287,标志,biāozhì,sign,4
2288,表情,biǎoqíng,Expression,4
2289,表扬,biǎoyáng,Praise,4
2290,别（动）,bié,do not; leave; separate; pin,4
2291,冰,bīng,ice,4
2292,冰箱,bīngxiāng,Refrigerator,4
2293,冰雪,bīng xuě,ice and snow,4
2294,兵,bīng,arms; soldier; force; weapon; military,4
2295,并（动）,bìng,combine; merge; incorporate,4
2296,不要紧,búyàojǐn,Never mind,4
2297,不在乎,bú zài hū,not mind; not care,4
2298,不管,bùguǎn,no matter,4
2299,不然,bùrán,otherwise,4
2300,布置,bùzhì,Arrangement,4
2301,步行,bù xíng,go on foot; walk,4
2302,擦,cā,wipe,4
2303,才（名）,cái,ability; talent; gift; endowment,4
2304,材料,cáiliào,Materials,4
2305,财产,cáichǎn,property,4
2306,财富,cáifù,wealth,4
2307,采访,cǎifǎng,interview,4
2308,参考,cānkǎo,Reference resources,4
2309,参与,cānyù,participate in,4
2310,操场,cāochǎng,Playground,4
2311,操作,cāozuò,operation,4
2312,测,cè,survey; fathom; measure; conjecture;  infer,4
2313,测量,cèliáng,measure,4
2314,测试,cè shì,test; examination,4
2315,曾,céng,once; already; at some time in the past,4
2316,茶叶,chá yè,tea; tea-leaves,4
2317,产品,chǎnpǐn,product,4
2318,长途,chángtú,Long -distance,4
2319,常识,chángshí,common sense,4
2320,唱片,chàng piàn,record; disc; phonogram,4
2321,抄,chāo,copy,4
2322,抄写,chāo xiě,copy; transcribe,4
2323,潮,cháo,moist; damp; humid; tide,4
2324,潮流,cháoliú,Trend,4
2325,潮湿,cháoshī,damp,4
2326,彻底,chèdǐ,thorough,4
2327,沉,chén,sink; keep down; lower; deep;  profound; heavy,4
2328,沉默,chénmò,silent,4
2329,沉重,chénzhòng,heavy,4
2330,称赞,chēngzàn,Praise,4
2331,成人,chéngrén,adult,4
2332,诚实,chéngshí,honest,4
2333,诚信,chéng xìn,honesty; integrity,4
2334,承担,chéngdān,bear,4
2335,承认,chéngrèn,Admit,4
2336,承受,chéngshòu,bear,4
2337,程序,chéngxù,program,4
2338,吃惊,chījīng,Be amazed,4
2339,迟到,chídào,Late,4
2340,尺,chǐ,rule; ruler,4
2341,尺寸,chǐ cùn,size; measurement; dimension,4
2342,尺子,chǐzi,Ruler,4
2343,冲,chōng,punching,4
2344,充电,chōng diàn,recharge; charge,4
2345,充电器,chōngdiànqì,Charger,4
2346,充分,chōngfèn,To the full,4
2347,虫子,chóng zi,insect; worm; bug,4
2348,抽,chōu,pump; take out; shrink; pick out,4
2349,抽奖,chōu jiǎng,lottery; lottery draw,4
2350,抽烟,chōuyān,smoking,4
2351,出口,chūkǒu,Exit,4
2352,出色,chūsè,excellent; outstanding,4
2353,出售,chū shòu,offer for sale; sell,4
2354,出席,chūxí,Attend,4
2355,处于,chǔ yú,be in; be (in a certain condition),4
2356,处,chǔ,dwell; live; be in a position of,4
2357,穿上,chuān shàng,put on,4
2358,传统,chuántǒng,tradition,4
2359,窗户,chuānghu,Window,4
2360,窗台,chuāng tái,windowsill; sill,4
2361,窗子,chuāng zi,window,4
2362,春季,chūn jì,spring; springtime,4
2363,纯,chún,pure; unmixed; simple; skilful;  practised,4
2364,纯净水,chún jìng  shuǐ,pure water,4
2365,词汇,cíhuì,vocabulary,4
2366,此,cǐ,this; these; now; here,4
2367,此外,cǐwài,in addition,4
2368,次（形）,cì,second -rate; secondary,4
2369,刺,cì,thorn,4
2370,刺激,cìjī,stimulate,4
2371,从此,cóngcǐ,from then on,4
2372,粗,cū,wide; thick; coarse; rough; gruff;  careless; rude,4
2373,粗心,cūxīn,careless,4
2374,促进,cùjìn,Promote,4
2375,促使,cùshǐ,Urge,4
2376,促销,cù xiāo,promotion,4
2377,措施,cuòshī,Measures,4
2378,打,dǎ,strike; hit; break; fight; build; beat,4
2379,答案,dá'àn,Answer,4
2380,打败,dǎ bài,defeat; beat; be defeated,4
2381,打雷,dǎ léi,thunder,4
2382,打扫,dǎsǎo,Clean,4
2383,打折,dǎzhé,Discount,4
2384,打针,dǎzhēn,To make an injection,4
2385,大巴,dà bā,bus,4
2386,大多,dà duō,mostly; for the most part,4
2387,大方,dàfang,generous,4
2388,大哥,dà gē,big brother; elder brother,4
2389,大规模,dà guī mó,large -scale; extensive,4
2390,大会,dà huì,convention; general meeting; General  Assembly,4
2391,大姐,dà jiě,elder sister,4
2392,大楼,dà lóu,building; large building,4
2393,大陆,dà lù,continent; mainland,4
2394,大妈,dà mā,aunt; father's elder brother's wife,4
2395,大型,dàxíng,large,4
2396,大爷,dà,ye uncle; father's elder brother,4
2397,大众,dà zhòng,public; the masses; people,4
2398,代替,dàitì,replace,4
2399,待遇,dàiyù,treatment,4
2400,袋,dài,bag; sack; pocket; pouch,4
2401,戴,dài,wear,4
2402,担保,dānbǎo,assure; hypothecate,4
2403,担任,dānrèn,To serve as,4
2404,担心,dānxīn,Worry,4
2405,单,dān,single; odd; unlined; thin; weak; only;  alone,4
2406,单纯,dānchún,Simple,4
2407,单调,dāndiào,monotonous,4
2408,单独,dāndú,Alone,4
2409,淡,dàn,light,4
2410,导游,dǎoyóu,Guide,4
2411,导致,dǎozhì,cause,4
2412,倒闭,dǎobì,Collapse,4
2413,倒车,dǎo,// chē change trains or buses,4
2414,倒车,dào,// chē back a car; reverse,4
2415,得意,déyì,Proud,4
2416,得,děi,need; must; have to; be sure to,4
2417,灯光,dēng guāng,light; stage lighting,4
2418,登,dēng,ascend; mount; scale; step on; pedal;  publish,4
2419,登记,dēngjì,register,4
2420,登录,dēnglù,Sign in,4
2421,登山,dēng shān,mountaineer; mountain -climbing,4
2422,的确,díquè,indeed; be certain to,4
