Index,Chinese,Pinyin,English,Level
3245,安慰,ānwèi,comfort,5
3246,岸,àn,bank,5
3247,岸上,àn shàng,ashore; shore; bank,5
3248,按摩,ànmó,massage,5
3249,拔,bá,pluck; pull out; draw; select; choose;  extract,5
3250,白酒,bái jiǔ,Chinese Baijiu; liquor and spirits,5
3251,拜访,bàifǎng,visit,5
3252,版,bǎn,printing plate; edition; version,5
3253,扮演,bànyǎn,Play the role,5
3254,棒,bàng,stick；excellent,5
3255,包围,bāowéi,Surround,5
3256,包装,bāozhuāng,pack; put up; make up,5
3257,保卫,bǎowèi,Defend,5
3258,保养,bǎoyǎng,maintain,5
3259,报答,bàodá,reciprocate; pay back; repay,5
3260,报警,bàojǐng,call the police,5
3261,抱怨,bàoyuàn,Complain,5
3262,背包,bēi bāo,backpack; knapsack; rucksack; infantry  pack,5
3263,悲剧,bēi jù,tragedy,5
3264,悲伤,bēi shāng,sad; sorrowful,5
3265,北极,běijí,arctic,5
3266,被动,bèidòng,passive,5
3267,辈,bèi,generation; lifetime,5
3268,本人,běnrén,oneself,5
3269,鼻子,bízi,nose,5
3270,比方,bǐfāng,Example,5
3271,比重,bǐzhòng,specific gravity; proportion,5
3272,彼此,bǐcǐ,each other,5
3273,必,bì,must; certainly; necessarily,5
3274,必需,bì xū,essential; indispensable,5
3275,毕竟,bìjìng,after all,5
3276,闭幕,bì mù,close; conclude; lower the curtain,5
3277,闭幕式,bì mù shì,closing ceremony,5
3278,边境,biānjìng,border; frontier,5
3279,编辑,biānjí,edit,5
3280,编辑,biānji,editor,5
3281,变动,biàn dòng,change; alteration; variation,5
3282,便利,biànlì,facilitate,5
3283,便条,biàntiáo,Note,5
3284,便于,biànyú,Easy to,5
3285,宾馆,bīnguǎn,hotel,5
3286,饼,bǐng,cake; cookie; pastry; round flat cake,5
3287,饼干,bǐnggān,Biscuits,5
3288,病毒,bìngdú,virus,5
3289,玻璃,bōli,Glass,5
3290,博客,bó kè,blog,5
3291,博览会,bólǎnhuì,exposition,5
3292,博士,bóshì,doctor,5
3293,博物馆,bówùguǎn,Museum,5
3294,薄弱,bóruò,weak,5
3295,不顾,búgù,disregard,5
3296,不利,bú lì,unfavourable; disadvantageous;  harmful; detrimental,5
3297,不耐烦,búnàifán,Impatient,5
3298,不幸,bú xìng,misfortune; unfortunat; unfortunately,5
3299,不易,bú yì,not easy; difficult; tough,5
3300,补偿,bǔcháng,compensate,5
3301,补贴,bǔtiē,subsidy,5
3302,不曾,bù céng,never,5
3303,不得了,búdéliǎo,Very,5
3304,不敢当,bùgǎndāng,I really don't deserve this.,5
3305,不良,bù liáng,bad; harmful; unhealthy,5
3306,不免,bùmiǎn,unavoidable,5
3307,不能不,bù néng bù,have to; cannot but,5
3308,不时,bùshí,now and then,5
3309,不停,bù tíng,without stop; non -stop,5
3310,不许,bù xǔ,not allow; must not; can't,5
3311,不止,bùzhǐ,more than,5
3312,不足,bùzú,insufficient,5
3313,部位,bùwèi,part; section,5
3314,猜,cāi,guess,5
3315,猜测,cāi cè,guess; conjecture; surmise,5
3316,裁判,cáipàn,Referee,5
3317,采购,cǎigòu,Purchase,5
3318,彩票,cǎipiào,lottery,5
3319,餐馆,cān guǎn,restaurant,5
3320,餐厅,cāntīng,Restaurant,5
3321,餐饮,cān yǐn,catering; repast,5
3322,草原,cǎo yuán,grasslands; prairie,5
3323,册,cè,book (measure word),5
3324,层次,céngcì,gradation; arrangement,5
3325,叉,chā,fork; cross,5
3326,叉子,chāzi,Fork,5
3327,差别,chābié,difference,5
3328,差距,chājù,disparity; distance,5
3329,插,chā,insert,5
3330,查询,chá xún,inquire; demand,5
3331,差（一）点儿,chā（yì） diǎnr,almost; nearly,5
3332,拆,chāi,Remove,5
3333,拆除,chāi chú,tear down; demolish; dismantle;  remove,5
3334,产业,chǎnyè,industry,5
3335,长度,cháng dù,length; extent,5
3336,长寿,cháng shòu,long life; longevity,5
3337,肠,cháng,intestine; bowel; intestinal,5
3338,尝,cháng,taste,5
3339,尝试,chángshì,attempt,5
3340,厂长,chǎng zhǎng,factory director; plant manager,5
3341,场面,chǎngmiàn,scene,5
3342,倡导,chàngdǎo,Advocate,5
3343,超越,chāoyuè,Transcend,5
3344,车主,chē zhǔ,car owner,5
3345,称²（动）,chēng,call; say; name; commend; weigh,5
3346,称号,chēnghào,Title,5
3347,成本,chéngběn,cost,5
3348,成交,chéngjiāo,Deal,5
3349,成效,chéngxiào,"Results, effects",5
3350,成语,chéngyǔ,idiom,5
3351,承办,chéngbàn,Undertake,5
3352,城里,chéng lǐ,inside the city; in town,5
3353,乘,chéng,ride,5
3354,乘车,chéng chē,riding; ride,5
3355,乘客,chéng kè,passenger,5
3356,乘坐,chéngzuò,ride,5
3357,吃力,chīlì,Sweaty,5
3358,池子,chí zi,pond; pool,5
3359,迟,chí,late; delayed; slow,5
3360,冲动,chōngdòng,impulse,5
3361,冲突,chōngtū,conflict,5
3362,充足,chōngzú,adequate,5
3363,愁,chóu,worry; be anxious,5
3364,丑,chǒu,ugly,5
3365,臭,chòu,smelly,5
3366,出版,chūbǎn,publish,5
3367,出差,chūchāi,A business travel,5
3368,出汗,chū hàn,sweat; sweating,5
3369,出于,chū yú,out of; start from; proceed from; stem,5
3370,初期,chū qī,prime; initial stage; early days,5
3371,除非,chúfēi,Unless,5
