Index,Chinese,Pinyin,English,Level
500,啊,a,auxiliary word,2
501,爱情,àiqíng,Love,2
502,爱人,ài rén,lover,2
503,安静,ānjìng,Be quiet,2
504,安全,ānquán,security,2
505,白色,bái sè,white,2
506,班长,bān zhǎng,monitor; squad leader,2
507,办,bàn,do,2
508,办法,bànfǎ,Way,2
509,办公室,bàngōngshì,Office,2
510,半夜,bàn yè,midnight,2
511,帮助,bāngzhù,Help,2
512,饱,bǎo,full,2
513,报名,bàomíng,sign up,2
514,报纸,bàozhǐ,Newspaper,2
515,北方,běifāng,north,2
516,背（动）,bēi,carry on the back; shoulder,2
517,比如,bǐrú,such as,2
518,比如说,bǐ rú shuō,for example,2
519,笔,bǐ,pen,2
520,笔记,bǐ jì,note; notes,2
521,笔记本,bǐjìběn,Notebook,2
522,必须,bìxū,Must,2
523,边,biān,side,2
524,变,biàn,change,2
525,变成,biàn chéng,become; change into,2
526,遍,biàn,Times,2
527,表,biǎo,watch,2
528,表示,biǎoshì,Express,2
529,不错,bú cuò,not bad; pretty good,2
530,不但,bú dàn,not only,2
531,不够,bú gòu,not enough,2
532,不过,búguò,However,2
533,不太,bú tài,not too; not very much,2
534,不要,bú yào,don't,2
535,不好意思,bù hǎo yì sī,sorry; feel embarrassed,2
536,不久,bù jiǔ,soon,2
537,不满,bù mǎn,dissatisfied,2
538,不如,bùrú,not as good as,2
539,不少,bù shǎo,not a few; a lot,2
540,不同,bù tóng,different,2
541,不行,bù xíng,no way; be out of the question,2
542,不一定,bù yī dìng,not necessarily; uncertain,2
543,不一会儿,bù yī huìr,in a moment; in a little while;  soon,2
544,部分,bùfen,Part,2
545,才（副）,cái,only; just,2
546,菜单,càidān,menu,2
547,参观,cānguān,visit,2
548,参加,cānjiā,participate in,2
549,草,cǎo,grass,2
550,草地,cǎo dì,grass; lawn,2
551,层,céng,layer,2
552,查,chá,search; check,2
553,差不多,chàbuduō,Almost,2
554,长,cháng,long,2
555,常见,cháng jiàn,common,2
556,常用,cháng yòng,in common use,2
557,场,chǎng,site,2
558,超过,chāoguò,Exceed,2
559,超市,chāoshì,Supermarket,2
560,车辆,chē liàng,car; vehicle,2
561,称¹（动）,chēng,call; say,2
562,成（动）,chéng,become; finish,2
563,成绩,chéngjì,achievement,2
564,成为,chéngwéi,Become,2
565,重复,chóngfù,repeat,2
566,重新,chóngxīn,again,2
567,出发,chūfā,Set out,2
568,出国,chū guó,go abroad,2
569,出口（名）,chū kǒu,export,2
570,出门,chū mén,go out,2
571,出生,chūshēng,Birth,2
572,出现,chūxiàn,Appear,2
573,出院,chū yuàn,discharged; leave hospital,2
574,出租,chū zū,rent,2
575,出租车,chūzūchē,Taxi,2
576,船,chuán,ship,2
577,吹,chuī,blow,2
