Index,Chinese,Pinyin,English,Level
4316,挨着,āi zhe,next to; close to,6
4317,挨,ái,Next to,6
4318,挨打,ái dǎ,take a beating; get a  thrashing; come under  attack,6
4319,安检,ān jiǎn,security check,6
4320,罢工,bàgōng,Strike,6
4321,罢了,bà le,let it pass; that's all; (auxiliary  word),6
4322,白领,bái lǐng,white collar; white collar  worker,6
4323,百分点,bǎi fēn diǎn,percentage point,6
4324,办公,bàn gōng,work; handle official  business; work in an office,6
4325,办事处,bàn shì chù,office; agency,6
4326,办学,bàn xué,run a school,6
4327,半决赛,bàn jué sài,semifinal,6
4328,傍晚,bàngwǎn,Evening,6
4329,保健,bǎo jiàn,health protection; health  care,6
4330,报刊,bào kān,newspapers and periodicals;,6
4331,报考,bào kǎo,register for examination;  sign up for an examination,6
4332,抱歉,bàoqiàn,feel sorry,6
4333,暴风雨,bào fēng yǔ,rainstorm; storm; tempest,6
4334,暴力,bàolì,violence,6
4335,暴露,bàolù,Expose,6
4336,暴雨,bào yǔ,torrential rain; rainstorm;  scat,6
4337,爆,bào,explode; burst; quick -fry,6
4338,爆发,bàofā,burst,6
4339,爆炸,bàozhà,blast,6
4340,悲惨,bēicǎn,miserable,6
4341,背心,bèi xīn,vest; sleeveless garment;  sleeveless,6
4342,背着,bèi zhe,behind one's back,6
4343,被告,bèigào,Defendant,6
4344,奔跑,bēn pǎo,run,6
4345,本（代、 副）,běn,this; originally,6
4346,本地,běn dì,this locality; local; native,6
4347,本期,běn qī,current period,6
4348,本身,běnshēn,itself,6
4349,本土,běn tǔ,mainland; one's native  country; metropolitan  territory,6
4350,本质,běnzhì,essence,6
4351,逼,bī,compel; force; drive; exert;  press on; close; narrow,6
4352,笔试,bǐ shì,written examination,6
4353,必将,bì jiāng,will certainly; surely will,6
4354,必修,bì xiū,obligatory; compulsory;  required,6
4355,闭,bì,close; shut; obstruct; stop up,6
4356,边缘,biānyuán,edge,6
4357,编制,biān zhì,authorized strength; work  out; draw up; compile,6
4358,扁,biǎn,flat,6
4359,变更,biàn gēng,change; alter; modify,6
4360,变换,biàn huàn,transform; convert; vary;  alternate,6
4361,变形,biàn xíng,deform; be out of shape;  deformation; morph,6
4362,便,biàn,then,6
4363,便是,biàn shì,that's it,6
